transaction_id,customer_id,timestamp,merchant,category,channel,city,country,payment_method,status,amount_raw,currency,coupon_code,device,is_refund,notes
TX3780777775,1093,2024-05-22 05:53:11,Decathlon,Retail,in_store,París,FR,card,completed,,EUR,student5,iOS,0,VIP customer
TX3212294790,1158,2024-04-27 04:24:09,UBER *TRIP,Food,online,paris,FR,apple_pay,chargeback,,EUR,,iOS,0,
TX4445898540,1497,14/03/2024 05:44:44,McDonald’s,Groceries,in_store,Niza,FR,google_pay,completed,27.04,EUR,,Tablet,0,
TX4012376497,1472,2024-05-29 17:49:20,Just Eat,Retail,online, Paris ,FR,google_pay,completed,45.77,USD,SPRING15,Tablet,0,
TX7582794829,1434,2024-04-09 06:26:03, H&M ,,in_store,nantes,FR,bank_transfer,completed,12.79,EUR, WELCOME10 ,Android,0,
TX6390410542,1111,2024-03-21 16:49:59,zara,Food,online, Nice ,FR,google_pay,completed,27.26,EUR,,Desktop,0,
TX4862748772,1357,2024-03-22 23:36:25,Carrefour,Entertainment,online,lyon,FR,bank_transfer,completed,"€53,19",EUR,,Desktop,0,
TX2800036200,1450,11/02/2024 08:34:43, Uber ,Food,in_store, Lille ,FR,google_pay,completed,8.66,USD,,iOS,0,
TX4785754915,1357,2024-01-17 18:26:58, Decathlon ,Subscription,mobile, Strasbourg ,FR,apple_pay,completed,27.32,EUR,STUDENT5,Android,0,
TX2624356240,1472,10/04/2024 22:25:34,BOULANGER,Food,online,Toulouse,FR,card,completed,17.27,EUR,,Desktop,0,—
TX9569312728,1110,10/06/2024 14:18:09,just eat,Groceries,in_store,Marseille,FR,bank_transfer,completed,19.64,EUR,SPRING15,Android,0,
TX2563962675,1255,12/01/2024 14:45:13,Leclerc,Groceries,in_store,Lyon,FR,apple_pay,completed,,EUR,,,0, late delivery 
TX8728096304,1181,05/06/2024 05:00:58, Deliveroo ,Entertainment,in_store,nantes,FR,card,completed,22.16,EUR,,,0,
TX6540226834,1398,2024-05-30 15:05:33, Uber ,Entertainment,online,,FR,apple_pay,completed,,EUR, WELCOME10 ,Android,0,
TX8297360542,1070,2024-02-20 08:53:10,JUST EAT,Transport,in_store, Paris ,FR,card,completed,-11.49,EUR,,iOS,1,
TX8997052311,1175,2024-04-24 23:06:35,AMAZON,Entertainment,online,Lille,FR,paypal,completed,-12.16,EUR,,Tablet,1,
TX8235864531,1386,2024-01-31 01:43:14,Carrefour,Subscription,online, Bordeaux ,FR,google_pay,completed,11.23,EUR,STUD3NT5,Android,0, late delivery 
TX6303654064,1009,2024-05-17 23:19:37,boulanger,Food,online,Toulouse,FR,google_pay,completed,69.16,EUR,,iOS,0,
TX3402944760,1140,2024-05-07 11:53:02, Just Eat ,Groceries,in_store, Toulouse ,FR,bank_transfer,completed,"18,59  eur ",EUR,FREESHIP,Desktop,0,duplicate
TX6940052773,1390,2024-03-05 12:34:09,CARREFOUR,Entertainment,online,nantes,FR,paypal,completed,24.16,EUR, FREESHIP ,Desktop,0,
TX1043591958,1131,2024-01-13 08:40:28,Fnac,Food,mobile,Marseille,FR,card,completed,19.27,EUR,spring15,iOS,0,
TX4397196675,1333,2024-06-25 16:00:31,boulanger,Groceries,in_store, Strasbourg ,FR,paypal,completed,13.92,EUR,welcome10,iOS,0,
TX8721673190,1220,2024-03-22 02:45:46,Airbnb,Groceries,online, Lyon ,FR,paypal,completed,"€21,30",EUR,SPRING15,Desktop,0,VIP customer
TX6224825726,1253,2024-06-11 13:09:10,spotify,Subscription,online,lille,FR,paypal,completed,107.23,EUR,,,0,
TX3345613267,1196,2024-05-03 09:09:00, SNCF ,Food,online, Lyon ,FR,bank_transfer,completed,56.56,EUR,,Android,0,
TX9029627475,1494,2024-05-21 15:58:44,APPLE STORE,Travel,in_store,marseille,FR,bank_transfer,completed,14.71,EUR,,iOS,0, late delivery 
TX1137421539,1396,2024-05-18 07:14:25,uber* eats,Food,in_store,Marseille,FR,bank_transfer,completed,"36,18EUR",EUR,,Android,0,
TX8946325700,1399,2024-02-05 10:10:54,McDonald's,Food,online,lyon,FR,google_pay,completed,14.9,EUR, SPRING15 ,Android,0,
TX7835088146,1435,2024-03-07 05:32:29, IKEA ,Food,online,marseille,FR,apple_pay,completed,8.45,EUR,FREESHIP,iOS,0,
TX2317386218,1234,2024-03-25 22:38:13,Deliveroo,Retail,online, Toulouse ,FR,paypal,completed,-45.23,EUR,freeship,Android,1,—
TX1566138892,1056,31/03/2024 14:21:11,AMAZON.FR,Transport,online,nantes,FR,bank_transfer,completed,,EUR,,iOS,0,
TX9561118435,1029,2024-01-08 23:20:05,uber,Groceries,online,Lyon ,FR,card,completed,45.95,EUR,,Desktop,0,
TX1603298647,1265,2024-04-09 11:24:55,AMAZON.FR,Retail,mobile, Paris ,FR,apple_pay,completed,18.51,USD,,Desktop,0,
TX9763854570,1481,2024-01-29 01:56:11,Amazon - Marketplace,Transport,mobile, Toulouse ,FR,card,completed,"22,20  eur ",EUR,STUD3NT5,Desktop,0,
TX4785661347,1265,2024-05-15 07:03:56,JUST EAT,Travel,in_store, Toulouse ,FR,paypal,chargeback,38.47,EUR,,iOS,0,
TX4181538910,1541,2024-05-04 07:33:27,Amazon,Retail,online,Strasbourg,FR,bank_transfer,completed,31.03,EUR,welcome10,Android,0,
TX6850396129,1287,2024-06-16 21:36:04, Fnac ,Subscription,mobile,lille,FR,apple_pay,completed,19.37,EUR, WELCOME10 ,Android,0,—
TX5464420697,1348,2024-05-15 13:07:15,DELIVEROO,Entertainment,in_store,Marseile,DE,card,completed,9.29,EUR,,Android,0,
TX4510430179,1042,2024-03-07 17:29:42,Fnac,Entertainment,online,Niza,FR,paypal,completed,26.27,USD,,Desktop,0,
TX6761455637,1422,2024-06-25 02:04:56,SNCF,Transport,in_store,marseille,FR,card,completed,46.87,EUR,STUDENT5,Desktop,0,VIP customer
TX4150598814,1488,2024-03-15 18:35:39,DECATHLON,Transport,online, Toulouse ,FR,google_pay,completed,11.96,EUR,SPRING15,Desktop,0,VIP customer
TX1309183292,1278,2024-02-29 07:12:18,Spotify,Entertainment,online,Lyon,FR,apple_pay,completed,"35,99EUR",EUR,,iOS,0,
TX8421754476,1497,2024-06-13 19:22:47,SNCF,Groceries,in_store,Nantes,FR,paypal,completed,29.93,EUR,,Android,0,
TX5631754150,1130,01/13/2024 12:00, Spotify ,Travel,online,toulouse,FR,google_pay,completed,"38,48EUR",EUR,,iOS,0,—
TX7180160510,1269,14/01/2024 21:28:01,IKEA,Groceries,in_store, Nice ,FR,apple_pay,completed,,EUR, SPRING15 ,Android,0,
TX6176564965,1501,2024-03-26 11:01:10,Uber,Utilities,in_store,Montpellier,FR,google_pay,completed,16.17,EUR,,Android,0,
TX6527731111,1332,2024-05-24 19:31:47,TOTALENERGIES,Entertainment,mobile,Bordeaux,FR,google_pay,completed,9.3,EUR,FR33SHIP,Desktop,0,
TX2970457596,1378,2024-02-04 11:36:39,UBER,Entertainment,online, Nice ,FR,card,completed,17.81,EUR,freeship,Tablet,0,
TX9411945648,1221,2024-03-25 06:07:27,DELIVEROO,Subscription,online,Nantes,FR,bank_transfer,completed,41.82,EUR,,iOS,0,
TX5029504480,1301,24/01/2024 15:29:49, Uber ,Food,in_store,Lyon,BE,card,completed,17.72,USD,SPRING15,Desktop,0,
TX9280871032,1204,2024-05-04 22:32:11,Just Eat,Transport,in_store, Paris ,FR,card,completed,16.18,EUR,,Desktop,0,
TX8262262198,1375,2024-03-27 13:52:44, McDonald's ,Transport,in_store,bordeaux,FR,card,completed,8.23,EUR,,Android,0,—
TX7480736593,1030,2024/99/99,SNCF,Groceries,mobile,bordeaux,FR,google_pay,completed,70.22,EUR, VIP20 ,Android,0,
TX5141060755,1281,01/13/2024 12:00,Boulanger,Food,in_store,lille,FR,card,completed,40.26,EUR,SPRING15,iOS,0,
TX1203792800,1511,2024-04-12 17:44:07,SNCF,Food,mobile,Lyon ,FR,bank_transfer,completed,38.94,EUR,,iOS,0,
TX3836909346,1032,2024-05-01 21:44:50,Amazon,Travel,online,Lyon ,FR,google_pay,completed,43.84,EUR,FR33SHIP,iOS,0,fraud? check
TX6983718332,1248,2024-06-20 03:15:24,Airbnb,Transport,in_store,strasbourg,FR,google_pay,completed,34.68,EUR,WELCOME10,Desktop,0,VIP customer
TX3975880050,1363,2024-03-20 13:28:46,AIRBNB,Groceries,mobile, Lyon ,ES,paypal,completed,-21.19,EUR,student5,iOS,1,
TX1892146323,1046,2024-01-30 05:53:09,,Transport,online,bordeaux,FR,paypal,completed,,EUR,,Android,0,
TX5659829244,1002,2024-05-31 13:08:17,Airbnb,Subscription,online,lyon,FR,paypal,completed,"18,98  eur ",EUR, STUDENT5 ,Tablet,0,
TX2390315917,1090,2024-04-24 14:48:37, Uber ,Subscription,in_store,Nice,FR,google_pay,completed,119.2,EUR,,Desktop,0,
TX3755984606,1121,2024-05-07 10:45:27,Fnac,Entertainment,in_store, Lyon ,FR,paypal,completed,34.25,USD,W3LCOM310,iOS,0,
TX5517217248,1483,2024-01-18 16:41:09,apple store,Entertainment,in_store, Strasbourg ,FR,bank_transfer,failed,,USD,VIP20,Desktop,0,
TX2046518460,1085,2024-02-26 20:25:02,Decathlon,Travel,mobile, Toulouse ,FR,paypal,completed,32.44,EUR,,iOS,0,—
TX2012756844,1352,2024-05-19 17:56:31,Decathlon,Entertainment,online,marseille,FR,card,failed,,EUR, VIP20 ,Desktop,1, late delivery 
TX2890799391,1187,2024-05-31 11:18:38, Uber ,Subscription,mobile, Marseille ,FR,paypal,completed,60.5,EUR,VIP20,iOS,0,
TX6326251093,1294,2024-03-20 05:01:34,H&M,Travel,mobile,nice,FR,bank_transfer,completed,16.5,EUR,,iOS,0,
TX9398780989,1499,26/05/2024 11:12:37,SPOTIFY,Food,online,Niza,ES,paypal,completed,33.14,EUR,,Tablet,0,
TX3151329889,1472,2024-06-02 04:30:35,Fnac,Retail,online,bordeaux,FR,paypal,completed,$46.51,USD, VIP20 ,iOS,0,
TX7478413405,1043,2024-03-11 12:30:19,SNCF,Transport,in_store,nantes,FR,google_pay,completed,30.9,EUR,STUDENT5,iOS,0,—
TX2704406539,1048,2024-06-12 10:50:47,Amazon - Marketplace,Groceries,online,Lyon ,ES,bank_transfer,completed,25.96,EUR,STUD3NT5,iOS,0,VIP customer
TX6719634852,1196,2024-02-22 11:25:01,Leclerc,Travel,in_store,Montpellier,FR,paypal,completed,24.69,USD,,Android,0,
TX2239474418,1444,01/13/2024 12:00,uber* eats,Transport,in_store,Lille,ES,apple_pay,completed,,EUR,,Desktop,0,
TX8608429749,1417,2024-05-04 05:08:24, Starbucks ,Transport,mobile,Montpellier,FR,google_pay,completed,17.36,EUR,,iOS,0,
TX7682580871,1340,2024-04-25 21:22:31,deliveroo,Travel,online, Toulouse ,FR,card,completed,"18,73  eur ",EUR,,iOS,0,
TX7126538001,1474,2024-01-26 10:26:19,just eat,Groceries,in_store, Toulouse ,FR,paypal,completed,59.61,EUR,student5,Desktop,0,
TX1131955985,1100,2024-05-31 13:23:37,Airbnb,Food,mobile, Toulouse ,FR,google_pay,completed,"€22,99",EUR,spring15,iOS,0,
TX8527688663,1404,2024-02-06 09:11:56,airbnb,Retail,in_store,París,FR,paypal,completed,15.31,EUR,,iOS,0,
TX2357654635,1533,2024-05-26 11:47:56, Just Eat ,Groceries,online,Marseille,FR,apple_pay,completed,18.0,EUR, STUDENT5 ,iOS,0,
TX5801401137,1530,2024-01-02 08:09:30,Zara,Groceries,online,Lille,BE,apple_pay,completed,47.48,EUR,,Tablet,0,
TX7989954742,1391,2024-05-25 00:36:29,Fnac,Transport,online,toulouse,FR,google_pay,completed,36.8,EUR,,Android,0,
TX6685034651,1382,2024-05-23 05:17:07,Apple Store,Transport,online,Bordeaux,FR,apple_pay,completed,34.34,EUR,,Android,0,
TX8371222602,1123,2024-05-22 00:37:52,SPOTIFY,,online,Paris,FR,paypal,completed,21.02,EUR,FREESHIP,Android,0, late delivery 
TX7379669226,1409,01/05/2024 00:04:06,ikea,Travel,in_store,Lille,ES,paypal,completed,-34.61,EUR,VIP20,Android,1,—
TX7804685128,1136,26/03/2024 19:48:18,SNCF,Utilities,in_store,Nice,FR,card,completed,-16.67,EUR,,Desktop,1, late delivery 
TX3688919342,1232,2024-05-08 08:09:43,Leclerc,Groceries,online,Lyon ,FR,card,completed,20.99,EUR,STUD3NT5,Tablet,0,
TX4411952314,1064,2024-02-20 10:28:01, Leclerc ,Retail,online,,FR,card,completed,43.9,EUR,,Android,0,
TX5513076375,1166,2024-05-22 02:13:27,Netflix,Entertainment,in_store,Bordeaux,FR,bank_transfer,completed,41.45,EUR, STUDENT5 ,Desktop,0,
TX6275446707,1041,2024-04-11 03:03:56,UBER,Entertainment,in_store,Lille,BE,apple_pay,completed,13.61,EUR,,iOS,0,duplicate
TX7225039117,1254,2024-03-24 12:32:38,TOTALENERGIES,Subscription,in_store, Nice ,FR,bank_transfer,failed,14.68,EUR,,Android,0,duplicate
TX6000172590,1039,2024-04-02 00:29:16,MCDONALD'S,Groceries,online, Toulouse ,FR,card,completed,,EUR,,Android,0,
TX7394115101,1422,2024-04-13 12:15:40,UBER,Subscription,online, Strasbourg ,FR,bank_transfer,completed,69.11,USD,,iOS,0,
TX2356752678,1360,2024-01-07 18:45:42,Amazon - Marketplace,Transport,in_store,Nantes,FR,google_pay,completed,7.77,USD,,iOS,0,
TX4551819527,1357,2024-01-26 10:37:59,uber* eats,Retail,mobile, Lille ,ES,apple_pay,completed,28.99,EUR,,iOS,0,
TX9219748998,1386,14/02/2024 16:15:42,uber,Utilities,in_store,toulouse,FR,apple_pay,completed,10.74,EUR,,iOS,0,
TX2952613775,1424,21/01/2024 20:16:02,Netflix,Food,online, Bordeaux ,BE,bank_transfer,completed,16.77,EUR,,Desktop,0,
TX2292947815,1371,01/13/2024 12:00,Uber,Food,online,strasbourg,FR,paypal,completed,19.71,EUR,,iOS,0,
TX7703270543,1345,2024-05-01 15:35:02,TotalEnergies,Groceries,in_store,montpellier,ES,paypal,completed,$19.06,USD,,Android,0,
TX2749862305,1100,2024-04-29 02:32:42,Just Eat,Retail,mobile,Montpellier,FR,google_pay,completed,"17,81 €",EUR,,iOS,0,
TX5118485717,1403,2024-03-26 17:44:53, Spotify ,Transport,in_store,Paris,FR,card,completed,24.64,EUR,,Android,0,—
TX7406485297,1267,2024-06-04 14:59:21,boulanger,Entertainment,online,Lille,FR,google_pay,completed,17.79,EUR,,iOS,0,
TX5363650768,1085,2024-04-12 20:57:04,decathlon,Transport,online,Bordeaux,FR,google_pay,completed,10.2,EUR, SPRING15 ,iOS,0,duplicate
TX9113598773,1264,2024-01-15 09:56:03,Netflix,Retail,online,lille,ES,apple_pay,completed,39.17,EUR,,Android,0,
TX8903336065,1178,2024-05-19 05:30:53,Airbnb,Retail,in_store, Nice ,DE,apple_pay,failed,38.54,EUR,student5,iOS,0,
TX5526555087,1109,2024-04-14 13:51:19,sncf,Groceries,online, Toulouse ,FR,google_pay,completed,40.69,EUR,,Android,0,
TX9647644280,1308,2024-04-25 12:26:58,SNCF VOYAGES,Food,online, Lille ,FR,bank_transfer,completed,9.73,EUR,student5,Android,0,—
TX3625964821,1492,2024-04-12 21:33:01,apple store,Transport,online,montpellier,FR,apple_pay,pending,29.35,EUR,,Tablet,0,
TX3105027467,1009,2024-04-10 18:02:04,SNCF,Retail,mobile,Lille,FR,bank_transfer,chargeback,36.8,EUR,,Android,0,
TX7032204238,1074,2024-01-17 11:35:38, Carrefour ,Travel,online,lyon,FR,card,completed,"13,21 €",EUR,,Android,0,fraud? check
TX6155038711,1501,11/04/2024 18:37:00,spotify,Entertainment,online,paris,DE,card,completed,24.67,EUR,,Android,0,
TX3259962169,1379,2024-05-24 16:10:41,Uber,Food,online, Lille ,FR,apple_pay,completed,22.88,EUR,spring15,Android,0,
TX4340183129,1131,2024-02-25 07:39:14,FNAC,Travel,in_store, Lyon ,FR,bank_transfer,completed,"74,09 €",EUR,,Android,0,
TX3097243056,1203,2024-04-19 17:11:50,IKEA,Retail,online, Lille ,FR,paypal,completed,77.84,EUR,,Android,0,
TX3132794311,1048,06/01/2024 14:36:44,Fnac,Subscription,in_store,Strasbourg,FR,google_pay,pending,9.04,EUR, STUDENT5 ,Android,0,—
TX4308138263,1463,04/03/2024 05:52:35,TotalEnergies,Groceries,in_store,Strasbourg,FR,google_pay,failed,109.55,EUR,,Desktop,0,
TX9317977164,1365,2024-03-20 11:34:53,h&m,Entertainment,online, Lille ,FR,google_pay,failed,"-14,17EUR",EUR,FR33SHIP,Android,1,
TX8514080807,1127,2024-06-27 20:36:03,apple store,Food,mobile, Nice ,ES,google_pay,completed,44.19,EUR,,iOS,0,
TX5611763665,1106,09/02/2024 01:18:20,deliveroo,Entertainment,online,Paris,IT,paypal,completed,43.92,EUR,W3LCOM310,Android,0,
TX5299925624,1380,2024-02-20 07:57:46,apple store,Transport,in_store, Paris ,FR,apple_pay,completed,13.5,EUR,,Desktop,0,
TX1283306694,1309,2024-03-15 08:27:10, Uber ,Transport,in_store,Marseille,FR,card,completed,32.98,EUR,STUDENT5,Desktop,0,
TX5160665486,1411,29/06/2024 15:57:47, IKEA ,Food,online,Lyon,DE,apple_pay,completed,23.0,EUR, VIP20 ,iOS,0,—
TX6613991642,1136,04/06/2024 07:39:51,IKEA,Food,online,Lyon,FR,bank_transfer,completed,34.21,EUR, STUDENT5 ,Android,0,—
TX8007311862,1546,07/01/2024 07:32:19,Amazon,Food,in_store,Lyon,FR,paypal,completed,,EUR,,,0,
TX4203817227,1091,2024-02-12 13:50:51,TotalEnergies,,online,nantes,FR,bank_transfer,completed,50.29,EUR,,iOS,0,
TX9274498874,1098,2024-05-29 13:04:25,starbucks,Retail,in_store,Marseille,FR,google_pay,completed,25.67,EUR,,Android,0,duplicate
TX8561735050,1404,11/01/2024 14:39:58,apple store,Travel,in_store,lille,BE,apple_pay,completed,-22.18,EUR,,iOS,1,
TX1740100980,1310,2024-06-04 17:34:12,zara,Groceries,in_store,Nice,FR,google_pay,completed,47.35,EUR,FREESHIP,Desktop,0,
TX9126532490,1213,2024-02-21 05:05:05, Decathlon ,Subscription,online,Lille,BE,google_pay,completed,"€34,75",EUR,,iOS,0,
TX3005463498,1404,2024-06-16 00:18:15,uber* eats,Travel,online,Nice,FR,paypal,completed,38.06,EUR,SPRING15,Desktop,0,
TX9309862253,1315,2024-02-23 10:25:02,fnac,Utilities,in_store,Lille,FR,card,completed,16.47,EUR,SPRING15,iOS,0,
TX6676118358,1221,2024-03-20 01:05:44,Decathlon,Travel,in_store,Toulouse,FR,paypal,completed,$13.10,USD,,iOS,0,
TX4707282209,1118,2024-04-30 11:15:04,Zara,Travel,online,lille,FR,google_pay,completed,17.45,USD,,iOS,0,
TX4928060111,1394,23/01/2024 23:35:39,carrefour,Groceries,online,toulouse,IT,bank_transfer,completed,16.9,EUR, STUDENT5 ,iOS,0,
TX6065097804,1303,11/04/2024 09:06:58,AMAZON.FR,Utilities,mobile,Marseile,FR,bank_transfer,pending,39.32,EUR,,Desktop,0,
TX8594855794,1491,2024-04-01 21:54:27,Leclerc,Groceries,online, Nice ,FR,bank_transfer,completed,44.06,EUR, FREESHIP ,iOS,0,
TX8532302652,1231,2024-05-22 16:04:01,DECATHLON,Travel,in_store,toulouse,ES,google_pay,completed,22.35,EUR,STUD3NT5,iOS,0,
TX4734127511,1145,2024-06-30 06:59:40,Apple Store,Retail,mobile,nantes,FR,card,completed,57.89 USD,USD,,Desktop,0,
TX8641245153,1028,2024-02-30 10:00:00,Amazon - Marketplace,Transport,online,Marseille,FR,apple_pay,completed,"55,76  eur ",EUR,student5,Android,0,
TX5247586947,1149,2024-03-15 11:19:34,Airbnb,Transport,online,lille,FR,paypal,pending,"28,39  eur ",EUR,,Android,0, late delivery 
TX4757958348,1399,2024-03-14 23:05:51, McDonald's ,Transport,in_store,lille,FR,apple_pay,completed,14.98,EUR,,iOS,0,
TX3189280870,1157,17/03/2024 01:38:37,Leclerc,Food,in_store,paris,FR,bank_transfer,completed,,EUR,,Tablet,0,
TX8451370152,1303,2024-05-28 03:38:26,ikea,Food,mobile,marseille,FR,paypal,pending,23.65,EUR,SPRING15,Android,0,VIP customer
TX6580571839,1118,28/02/2024 11:04:12,Spotify,Entertainment,online, Lyon ,FR,google_pay,pending,26.46,EUR,VIP20,iOS,0,
TX4880060259,1510,31/01/2024 09:20:15,Spotify,Entertainment,online, Paris ,FR,card,failed,20.01,EUR,,Android,0,duplicate
TX6961389880,1496,2024-03-01 20:11:05,Fnac,Transport,online,paris,FR,card,failed,"€14,38",EUR,SPRING15,Android,0,
TX8749107899,1444,2024-01-05 03:12:22, Apple Store ,Entertainment,online, Nantes ,FR,apple_pay,completed,10.16,EUR,,Android,0,
TX2780414520,1403,2024-01-20 07:37:50,SNCF,Food,online,marseille,BE,apple_pay,completed,"35,86  eur ",EUR,,Android,0,
TX4531978620,1314,2024-01-17 09:19:44, H&M ,Retail,mobile,nice,FR,paypal,completed,15.33,EUR,,Android,0,
TX4422703532,1004,20/05/2024 10:08:26, SNCF ,Groceries,online,Lyon ,FR,card,chargeback,153.81,EUR,,Android,0,—
TX1684196738,1023,2024-05-11 11:15:55,Uber,Food,online, Toulouse ,FR,apple_pay,failed,12.79,EUR,,iOS,0,—
TX4006614290,1243,2024-05-06 19:29:40,Netflix,Subscription,online,nice,FR,apple_pay,completed,11.54,USD,FR33SHIP,Desktop,0,
TX7856137037,1413,2024-03-25 01:28:46,netflix,Travel,mobile,strasbourg,BE,apple_pay,completed,33.32,EUR,,iOS,0,fraud? check
TX3280061260,1071,10/05/2024 12:06:40,Carrefour,Groceries,online,nantes,BE,card,chargeback,61.41,EUR,,Desktop,0,—
TX8298235343,1301,30/01/2024 08:26:06,Zara,Travel,in_store,Nantes,FR,google_pay,completed,"€25,50",EUR,,iOS,0,
TX9597282078,1524,2024-06-12 21:54:54,Starbucks,Groceries,in_store,Lyon,FR,paypal,pending,34.58,EUR,student5,Android,0, late delivery 
TX3015734121,1459,01/04/2024 04:33:48,FNAC,Groceries,in_store, Lille ,FR,google_pay,completed,8.12,EUR,SPRING15,Android,0,
TX4686996650,1303,19/06/2024 17:24:29,netflix,Transport,online,París,FR,card,completed,16.34,EUR,,Android,0,—
TX2182006344,1317,2024-01-28 17:17:57,Apple Store,Retail,in_store,Marseile,FR,card,completed,12.88,EUR,,Desktop,0,
TX7229296738,1034,2024-03-31 12:20:15,IKEA,Travel,online,lyon,FR,bank_transfer,completed,7.87,EUR,,Android,0,fraud? check
TX5339799822,1001,2024-05-06 17:31:37,airbnb,Travel,online,nice,FR,card,completed,26.32,EUR,,Tablet,0,duplicate
TX6298401479,1173,2024-03-31 04:53:37,SNCF,Entertainment,mobile, Toulouse ,FR,card,completed,-6.39,EUR, WELCOME10 ,,1,—
TX8008240057,1448,22/03/2024 04:48:37, Carrefour ,Entertainment,in_store,lyon,FR,paypal,completed,11.1,EUR,freeship,,0,
TX7985611980,1003,31/01/2024 06:01:23,SNCF,Groceries,in_store, Lyon ,FR,apple_pay,completed,17.77,EUR,,iOS,0,
TX5643780741,1439,2024-03-10 08:18:02, Amazon ,Subscription,in_store,montpellier,ES,paypal,completed,14.9,EUR,SPRING15,iOS,0,VIP customer
TX8940887341,1141,13/02/2024 10:55:51,,Transport,in_store,Marseile,FR,card,completed,31.12,EUR,VIP20,Desktop,0, late delivery 
TX9387381500,1054,2024-02-24 21:00:16,just eat,Transport,mobile, Strasbourg ,FR,apple_pay,completed,29.47,EUR,,iOS,0,
TX6676419767,1052,2024-05-04 10:24:15,deliveroo,Subscription,in_store, Strasbourg ,FR,card,pending,41.94,EUR,STUDENT5,Desktop,0,
TX1345657616,1376,2024-04-24 17:04:27,SNCF VOYAGES,Transport,in_store, Bordeaux ,ES,google_pay,completed,-38.53,EUR,STUD3NT5,iOS,1,
TX7983691372,1024,2024-04-20 12:14:01,Uber,Groceries,online,Nantes,FR,card,pending,48.64,EUR,,Desktop,0,
TX9027254891,1289,2024-03-06 20:23:50,LECLERC,Subscription,in_store, Montpellier ,FR,apple_pay,completed,24.5,EUR,,iOS,0,VIP customer
